No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-12-09 08:22:17  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000002  2024-12-09 08:22:24  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-12-09 08:22:25  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000004  2024-12-09 08:22:33  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000005  2024-12-09 08:22:52  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000006  2024-12-09 08:25:37  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000007  2024-12-09 08:25:45  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000008  2024-12-09 08:26:17  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000009  2024-12-09 08:26:32  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000010  2024-12-09 08:28:48  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000011  2024-12-09 08:29:50  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000012  2024-12-09 08:30:12  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000013  2024-12-09 08:30:31  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000014  2024-12-09 08:31:41  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000015  2024-12-09 08:33:50  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000016  2024-12-09 08:34:14  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000017  2024-12-09 08:35:05  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000018  2024-12-09 08:36:31  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000019  2024-12-09 08:36:34  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000020  2024-12-09 08:38:52  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000021  2024-12-09 08:40:05  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000022  2024-12-09 08:42:22  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000023  2024-12-09 08:43:25  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000024  2024-12-09 08:43:50  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000025  2024-12-09 08:44:08  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000026  2024-12-09 08:44:51  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000027  2024-12-09 08:45:58  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000028  2024-12-09 08:46:13  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000029  2024-12-09 08:47:17  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000030  2024-12-09 08:49:12  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000031  2024-12-09 08:49:36  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000032  2024-12-09 08:50:34  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000033  2024-12-09 08:51:25  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000034  2024-12-09 08:52:03  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000035  2024-12-09 08:52:19  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000036  2024-12-09 08:52:21  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000037  2024-12-09 08:53:23  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000038  2024-12-09 08:54:24  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000039  2024-12-09 08:54:41  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000040  2024-12-09 08:56:02  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000041  2024-12-09 08:57:08  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000042  2024-12-09 08:57:37  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000043  2024-12-09 08:58:25  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000044  2024-12-09 08:58:46  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000045  2024-12-09 08:59:45  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000046  2024-12-09 09:00:02  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
000000047  2024-12-09 09:00:14  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegawai get rekap all data pegawai
