No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-12-02 00:07:38  Google Chrome      abot : C:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000002  2024-12-02 00:07:39  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-12-02 00:07:48  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000004  2024-12-02 00:07:49  Google Chrome      abot : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000005  2024-12-02 00:10:20  Google Chrome      abot : C:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000006  2024-12-02 00:10:20  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000007  2024-12-02 00:21:02  Google Chrome      D:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000008  2024-12-02 00:21:02  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000009  2024-12-02 00:21:06  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000010  2024-12-02 00:21:06  Google Chrome      D:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000011  2024-12-02 00:21:08  Google Chrome      D:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000012  2024-12-02 00:21:09  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000013  2024-12-02 00:21:14  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000014  2024-12-02 00:21:21  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000015  2024-12-02 00:22:09  Google Chrome      abot : D:\xampp\htdocs\aska\application\models\Dashboard\Setting\UserModel\saveDataUser save data user
000000016  2024-12-02 00:22:18  Google Chrome      abot : D:\xampp\htdocs\aska\application\models\Dashboard\Setting\UserModel\getDataSettingUserForUpdate get data setting user for update
000000017  2024-12-02 00:22:57  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\SignIn\logout 
