No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-12-03 00:21:12  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Referensi\Golongan\index 
000000002  2024-12-03 00:21:13  Google Chrome      abot : D:\xampp\htdocs\aska\application\models\Dashboard\Referensi\GolonganModel\getAllDataGolonganMDL get all data golongan
000000003  2024-12-03 01:48:45  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000004  2024-12-03 01:52:43  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000005  2024-12-03 01:52:44  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000006  2024-12-03 01:52:45  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000007  2024-12-03 01:52:45  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000008  2024-12-03 02:04:41  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000009  2024-12-03 02:05:54  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000010  2024-12-03 02:06:04  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000011  2024-12-03 02:06:05  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000012  2024-12-03 02:06:05  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000013  2024-12-03 02:06:05  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000014  2024-12-03 02:15:53  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000015  2024-12-03 02:15:59  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000016  2024-12-03 02:16:00  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000017  2024-12-03 02:16:01  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000018  2024-12-03 02:16:01  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000019  2024-12-03 16:05:23  Google Chrome      D:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000020  2024-12-03 16:05:27  Google Chrome      D:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000021  2024-12-03 16:05:29  Google Chrome      bos : D:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000022  2024-12-03 16:05:35  Google Chrome      bos : D:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000023  2024-12-03 16:05:37  Google Chrome      bos : D:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegwai get rekap all data pegawai
000000024  2024-12-03 16:05:46  Google Chrome      bos : D:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000025  2024-12-03 16:05:46  Google Chrome      D:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000026  2024-12-03 16:05:53  Google Chrome      D:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000027  2024-12-03 16:05:54  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000028  2024-12-03 16:16:42  Google Chrome      abot : D:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
