No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-11-27 04:03:31  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000002  2024-11-27 04:08:29  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-11-27 04:08:37  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000004  2024-11-27 04:11:05  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000005  2024-11-27 04:11:13  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000006  2024-11-27 04:11:56  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000007  2024-11-27 04:11:57  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000008  2024-11-27 04:12:03  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000009  2024-11-27 04:13:32  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000010  2024-11-27 04:14:46  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000011  2024-11-27 04:22:04  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000012  2024-11-27 04:22:22  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000013  2024-11-27 04:24:07  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000014  2024-11-27 04:40:44  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000015  2024-11-27 04:41:26  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
