No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-11-30 03:02:52  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000002  2024-11-30 03:03:08  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-11-30 03:03:09  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000004  2024-11-30 03:04:37  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000005  2024-11-30 03:04:37  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000006  2024-11-30 03:04:44  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000007  2024-11-30 03:04:44  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000008  2024-11-30 03:12:19  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000009  2024-11-30 03:12:20  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000010  2024-11-30 03:12:31  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000011  2024-11-30 03:13:48  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000012  2024-11-30 03:14:19  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000013  2024-11-30 03:17:03  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000014  2024-11-30 03:19:28  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000015  2024-11-30 03:26:32  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000016  2024-11-30 03:28:03  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000017  2024-11-30 03:28:48  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000018  2024-11-30 03:29:11  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000019  2024-11-30 03:30:29  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000020  2024-11-30 03:30:40  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000021  2024-11-30 03:37:11  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000022  2024-11-30 03:37:37  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000023  2024-11-30 03:37:37  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000024  2024-11-30 03:37:44  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000025  2024-11-30 03:37:44  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000026  2024-11-30 03:39:48  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000027  2024-11-30 03:43:55  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\UserAccount\ManageRoles\index 
000000028  2024-11-30 03:44:35  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000029  2024-11-30 03:45:02  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000030  2024-11-30 03:45:08  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000031  2024-11-30 03:45:10  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000032  2024-11-30 03:45:29  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000033  2024-11-30 03:52:22  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000034  2024-11-30 03:52:24  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000035  2024-11-30 04:06:06  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000036  2024-11-30 04:06:32  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000037  2024-11-30 04:06:34  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000038  2024-11-30 04:10:07  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\SignIn\logout 
000000039  2024-11-30 04:10:07  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000040  2024-11-30 11:20:56  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
