No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-12-06 00:00:48  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000002  2024-12-06 00:01:00  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-12-06 00:01:01  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000004  2024-12-06 00:03:48  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000005  2024-12-06 00:07:07  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000006  2024-12-06 00:09:17  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000007  2024-12-06 00:12:16  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000008  2024-12-06 00:13:14  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000009  2024-12-06 00:15:00  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000010  2024-12-06 00:16:48  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000011  2024-12-06 00:17:55  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000012  2024-12-06 00:18:51  Google Chrome      admpeg : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000013  2024-12-06 22:13:24  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000014  2024-12-06 22:13:32  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000015  2024-12-06 22:13:33  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000016  2024-12-06 22:20:20  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000017  2024-12-06 22:20:37  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000018  2024-12-06 22:23:03  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000019  2024-12-06 22:24:36  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000020  2024-12-06 22:24:54  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000021  2024-12-06 22:28:09  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000022  2024-12-06 22:30:07  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000023  2024-12-06 22:31:06  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000024  2024-12-06 22:32:33  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000025  2024-12-06 22:33:45  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000026  2024-12-06 22:35:04  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000027  2024-12-06 22:36:39  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000028  2024-12-06 22:36:48  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000029  2024-12-06 22:36:56  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000030  2024-12-06 22:37:06  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000031  2024-12-06 22:37:22  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000032  2024-12-06 22:37:58  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000033  2024-12-06 22:38:13  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000034  2024-12-06 22:39:32  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000035  2024-12-06 22:40:41  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000036  2024-12-06 22:43:33  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000037  2024-12-06 22:45:18  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000038  2024-12-06 22:46:36  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000039  2024-12-06 22:47:24  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000040  2024-12-06 22:48:57  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000041  2024-12-06 22:53:17  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000042  2024-12-06 22:58:00  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000043  2024-12-06 23:00:45  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000044  2024-12-06 23:02:56  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000045  2024-12-06 23:03:42  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000046  2024-12-06 23:04:09  Google Chrome      hari : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
