No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-11-28 00:26:09  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000002  2024-11-28 00:26:17  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-11-28 00:26:19  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000004  2024-11-28 00:26:24  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000005  2024-11-28 00:29:11  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000006  2024-11-28 00:29:45  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000007  2024-11-28 00:30:41  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000008  2024-11-28 00:33:20  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000009  2024-11-28 00:33:58  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000010  2024-11-28 00:34:24  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000011  2024-11-28 00:34:53  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000012  2024-11-28 00:36:23  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000013  2024-11-28 00:36:32  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000014  2024-11-28 01:29:26  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
