No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-11-26 00:00:39  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Pegawai\InputData\index 
000000002  2024-11-26 00:00:39  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Pegawai\InputData\getDataPegawai 
000000003  2024-11-26 00:00:39  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\models\Dashboard\Pegawai\InputDataModel\getDataPegawai 
000000004  2024-11-26 00:02:55  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\SignIn\logout 
000000005  2024-11-26 00:02:55  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000006  2024-11-26 00:05:42  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000007  2024-11-26 00:06:14  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000008  2024-11-26 00:08:49  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000009  2024-11-26 00:13:45  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000010  2024-11-26 00:17:26  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000011  2024-11-26 00:17:51  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000012  2024-11-26 00:19:31  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000013  2024-11-26 00:24:00  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000014  2024-11-26 00:30:45  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000015  2024-11-26 00:30:54  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000016  2024-11-26 00:30:55  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000017  2024-11-26 00:30:55  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000018  2024-11-26 00:30:56  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
