No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-11-29 16:11:39  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000002  2024-11-29 16:20:05  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-11-29 16:20:06  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000004  2024-11-29 16:20:18  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000005  2024-11-29 16:22:00  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\InputDataModel\saveDataPegawai save data pegawai started
000000006  2024-11-29 16:28:45  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapAll\index 
000000007  2024-11-29 16:35:55  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000008  2024-11-29 16:36:03  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000009  2024-11-29 16:36:09  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000010  2024-11-29 16:37:56  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000011  2024-11-29 16:38:54  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000012  2024-11-29 16:43:23  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000013  2024-11-29 16:45:33  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000014  2024-11-29 16:53:01  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000015  2024-11-29 16:53:02  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegwai get rekap all data pegawai
000000016  2024-11-29 16:53:45  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000017  2024-11-29 16:54:05  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegwai get rekap all data pegawai
000000018  2024-11-29 16:57:28  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\RekapDataAll\index 
000000019  2024-11-29 16:57:37  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\models\Dashboard\Pegawai\RekapDataAllModel\getRekapAllDataPegwai get rekap all data pegawai
